---------------------------------------------------------------------------------------------------
Date: 8/15/2026 -- 12:44:25 (uptime: 0d, 00h 00m 00s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 3388
decoder.bytes                                                | Total                     | 348272
decoder.ipv4                                                 | Total                     | 3388
decoder.ethernet                                             | Total                     | 3388
decoder.tcp                                                  | Total                     | 3388
tcp.syn                                                      | Total                     | 300
tcp.synack                                                   | Total                     | 300
tcp.rst                                                      | Total                     | 391
decoder.avg_pkt_size                                         | Total                     | 102
decoder.max_pkt_size                                         | Total                     | 298
flow.total                                                   | Total                     | 300
flow.tcp                                                     | Total                     | 300
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 12
flow.wrk.flows_evicted_needs_work                            | Total                     | 70
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 140
flow.wrk.flows_injected                                      | Total                     | 70
tcp.sessions                                                 | Total                     | 300
tcp.ssn_from_pool                                            | Total                     | 300
tcp.segment_from_cache                                       | Total                     | 811
tcp.segment_from_pool                                        | Total                     | 89
detect.alert                                                 | Total                     | 137
detect.alerts_suppressed                                     | Total                     | 4
app_layer.flow.http                                          | Total                     | 300
app_layer.tx.http                                            | Total                     | 300
flow.end.state.closed                                        | Total                     | 300
flow.end.tcp_state.closed                                    | Total                     | 300
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 1
flow.mgr.flows_notimeout                                     | Total                     | 1
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 230
flow.recycler.queue_avg                                      | Total                     | 1
flow.recycler.queue_max                                      | Total                     | 105
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
